职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
5568f343274814e70nB-0t6_ElBS,服务器上门工程师,华誉维诚,500-999人,互联网,大专,1-3年,,6-8K,武汉,,2026-05-29 16:17:40
b05bef5be90d2ea20nZ80925EFJV,系统运维工程师,安徽烽瑞,20-99人,通信/网络设备,大专,1-3年,,5-8K·13薪,武汉,,2026-05-29 16:18:21
6bd71410b9e566900nB50ti9FVJU,网络运维工程师,零日信安,0-20人,信息安全,大专,,"网络运维, 系统运维, 计算机相关专业, 运维经验",120-150元/天,武汉,,2026-05-29 16:19:26
69a82d44756acf2a0nB43tW9FVdS,运维工程师,PPIO,100-499人,云计算,本科,3-5年,"网络运维, 系统运维, 运维开发/DevOps, 计算机相关专业, 运维经验, 运维开发经验, 网络安全相关经验, 大模型API接口联调, 大模型技术接入评测",13-20K·15薪,武汉,,2026-05-29 16:19:46
fe2d17f7666da6050nR72d--GFFR,运维工程师,慧铁科技股份,20-99人,人工智能,本科,3-5年,,8-11K,武汉,,2026-05-29 16:20:06
32b85080c9e233490nB-3d2_EVJU,高级运维工程师,上海能良,1000-9999人,电子商务,本科,5-10年,"大数据运维经验, 运维开发经验, 运维经验",15-25K,武汉,,2026-05-29 16:20:27
57c4af56b8dc691803Fy09q9E1dR,运维工程师,湖北格瑞曼,20-99人,人工智能,本科,1-3年,"系统运维, 运维开发/DevOps, Python/Shell, Golang, Docker, 计算机相关专业, 通信相关专业, 运维经验, 运维开发经验",8-13K,武汉,,2026-05-29 16:20:27
