职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
59fbe00960c47f2b03V93968F1JV,设计工程师,广亚,100-499人,电气机械/器材,大专,5-10年,"UG, AutoCAD, 非标设计经验, 其他, 通机消声器设计, SolidWorks, 有机械结构工程师经验",8-13K,重庆,,2026-05-30 19:08:59
ac5f6acde06c63440nB4392-ElpU,装配工程师,中科慧仪,20-99人,电子/硬件开发,学历不限,经验不限,,4-8K,重庆,,2026-05-30 19:09:20
382a6e1b13c2a5701XF539y9EFc~,电气工程师,重庆净锋半导体设备,20-99人,专用设备,大专,3-5年,"电气安装, 机电相关专业, 熟悉PLC编程, 熟悉HMI技术, 熟悉晶圆研磨抛光工艺, 熟悉半导体设备及工艺",7-8K,重庆,,2026-05-30 19:09:20
90837c474395fc190nB43tq-FlRW,软件工程师,某大型计算机软件公司,1000-9999人,计算机软件,本科,3-5年,,18-25K·13薪,重庆,,2026-05-30 19:09:39
fa9d8e45c0f09e100nB50tu6GFVY,工艺工程师,重庆迪马工业,500-999人,汽车研发/制造,本科,经验不限,,4-7K,重庆,,2026-05-30 19:10:22
f6728a73d191acff1XJ509q9FlJZ,化工工程师,重庆凯麦,0-20人,化工,本科,3-5年,"工艺设计, 化工工程师证, 生产操作与管理, 化学专业, 精细与专用化学品, 英语可作为工作语言, 石油化工, 无机品, 设备管理",10-15K·14薪,重庆,,2026-05-30 19:11:05
23a5f5bca6df9bbf0nRz2tS_FVdU,体系工程师,重庆深科技有限公司,500-999人,智能硬件/消费电子,大专,3-5年,IATF16949,10-15K·13薪,重庆,,2026-05-30 19:11:05
