职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
2a4a3b069934883f03172N20F1tV,云计算技术服务工程师,阿里云,10000人以上,互联网,硕士,在校/应届,"Java, Nginx, 大数据运维经验, MySQL, 运维开发经验, Python/Shell, 计算机相关专业, 网络安全相关经验, Kubernetes",16-30K,广州,,2026-05-24 15:54:08
8d7dccfa0d5b91d50nB439m7FVJR,云计算运维工程师,中软国际,10000人以上,计算机软件,本科,3-5年,"Docker, SRE, 运维开发/DevOps, GOC, 计算机相关专业, 运维经验, Kubernetes",14-15K,杭州,,2026-05-24 15:54:30
ffb2650c0384c8580nR72tW6E1BV,运维工程师,燕加隆,1000-9999人,建筑材料,本科,5-10年,,10-15K,深圳,,2026-05-24 15:56:39
9a27e5183bf89b3703J82t21EFpS,云计算高级前端开发工程师,金山云,1000-9999人,互联网,本科,5-10年,,35-45K·15薪,武汉,,2026-05-24 15:56:39
