职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
d52d7ffaae86e9cd1HN409m_EFBX,招聘高级后台工程师,兰州锦华技术有限公司,100-499人,通信/网络设备,大专,经验不限,"5G, 4G",9-12K,呼和浩特,,2026-05-31 22:04:32
e24ac13d70db382b0nRy09u5E1JT,接入网工程师,郑州逸豪良恺信息技术,0-20人,企业服务,大专,1-3年,接入网经验,7-10K,呼和浩特,,2026-05-31 22:04:32
0bcbf83ac3eec92f0nB_29S-EFtX,防雷检测工程师,万众工程检测有限公司,20-99人,检测/认证/知识产权,大专,1-3年,,4-8K,呼和浩特,,2026-05-31 22:04:53
fd52a1019539601b0nB_2dS_EVNT,银行测试工程师,天阳科技,1000-9999人,计算机软件,本科,3-5年,"银行, 存款, 测试",6-8K,呼和浩特,,2026-05-31 22:05:35
67800bf5c5de46211XZ80961E1ZW,运维工程师,内蒙古容研盛视科...,20-99人,智能硬件,大专,1-3年,"弱电, led安装",3-5K,呼和浩特,,2026-05-31 22:06:16
37490b9f85539bd1031609q0GFpZ,风电运维工程师,上海技益电力检修,100-499人,电力/热力/燃气/水利,大专,1-3年,,6-11K,呼和浩特,,2026-05-31 22:06:38
9c17f6cf39bac1a51Xdy3N25E1pY,Java开发工程师,邦健,0-20人,计算机软件,本科,3-5年,"Java, Spring, MyBatis, Tomcat, MySQL, Redis, 架构设计经验, 分布式经验",7-9K,呼和浩特,,2026-05-31 22:07:00
