职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
4a8eddaa0e35aff61XF_29m6FFNY,电气助理工程师,智远电力,20-99人,电力/热力/燃气/水利,中专/中技,经验不限,"继电保护, 一次二次电力调试",3-8K·13薪,贵阳,,2026-05-31 20:04:10
f220aab29ba3590c03d73928FlRZ,通信标准化工程师,恒立诚广告,0-20人,广告/公关/会展,学历不限,,"Wi-Fi, 通信协议/软件开发, 通信接口/总线, 蓝牙/Wi-Fi, 通信设备装维, 网络协议, 停车场，车牌识别经验",360-600元/天,贵阳,,2026-05-31 20:04:53
0d9e4ecf416838b61Hd63tS8FVJQ,总工或者副总工程师,天赋科技,20-99人,工程施工,本科,5-10年,机电消防 技术管理,15-20K,贵阳,,2026-05-31 20:05:14
bd5c055e757d4afa1nVy0926EFRZ,运维工程师,启源信通,20-99人,计算机服务,本科,3-5年,"Linux, 云计算, 网络设备, 系统运维, 安全运维, 虚拟化运维",5-8K,贵阳,,2026-05-31 20:05:34
