职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
92cbf12a958f3b160nB-3tm5F1tW,特气工程师,锂凰科技,100-499人,其他新能源,中专/中技,3-5年,,6-11K,无锡,,2026-05-30 14:33:45
64e8ac2f22af8e3c1XR539i_EVQ~,运维工程师,用友无锡营销服务中心,0-20人,计算机软件,大专,在校/应届,"财务专业, 实施交付运维, MySQL/Oracle, 系统运维, 运维开发经验, 计算机相关专业, ERP系统运维, 网络安全相关经验, 数据库, 运维经验",3-4K,无锡,,2026-05-30 14:35:29
9701a3a38da7828403By39W_EFtY,注塑工程师,井上华光,100-499人,汽车研发/制造,大专,3-5年,"CATIA, 注塑机调试, 注塑工艺设计/评审",6-11K·13薪,无锡,,2026-05-30 14:36:11
80dc4afa9c4e9afb03N_0tS4E1VT,机械工程师,江苏网达智能装备...,0-20人,机械设备/机电/重工,本科,3-5年,"自动化机械经验, 设计, AutoCAD, 非标设计经验, 整机设计经验, 机械++设计+自动化++装配+CAD, 非标, SolidWorks, 有机械工程师经验",8-13K,无锡,,2026-05-30 14:36:52
