职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
05703079741046d80nB-29i4GFtU,云运维工程师（某运营商）,神州信息,10000人以上,计算机软件,本科,1-3年,"系统运维, 实施交付运维, Python/Shell, 一线运维, 云运维, 云计算, 云计算技术支持, 云平台",8-13K,广州,,2026-05-27 00:22:40
0ae998db383309991nZ_0tW7E1pU,技术支持（实习生/应届生）,讯方技术股份,1000-9999人,计算机软件,大专,,"IT技术支持经验, 计算机/通信相关专业, 运维工程师, 云计算工程师, 数通工程师, 售后支持/客户响应经验, 可适应出差, 网络工程师",100-150元/天,广州,,2026-05-27 00:22:40
8873ad1692c11e0803N-2N65FFdU,GPU服务器运维工程师,宏景科技,100-499人,计算机软件,大专,1-3年,,8-13K,广州,,2026-05-27 00:23:20
32df24459e1dba3e0nZ929W5FVBU,安全运维工程师,安恒信息,100-499人,信息安全,学历不限,3-5年,,12-15K,广州,,2026-05-27 00:23:41
2b6aff4b033106240nZ-3ti8EltV,自动驾驶车辆运维工程师,京东世纪贸易有限公司,10000人以上,互联网,大专,5-10年,,18-35K·20薪,广州,,2026-05-27 00:24:03
45d031f392fdcaa10ndz3d2-GVNS,国企-运维工程师,广东某中型人工智能公司,100-499人,人工智能,硕士,5-10年,,20-35K,广州,,2026-05-27 00:24:03
619e3946d7f103bd0nB62d--GFBV,it运维工程师,铁腾科技,20-99人,通信/网络设备,大专,1-3年,"网络运维, IDC机房运维, IT运维, 数据中心",6-9K·13薪,广州,,2026-05-27 00:24:23
1b1b7f4d5b0c6fba0nB4096-GVdR,运维工程师—广州,中电科安全科技,100-499人,计算机软件,本科,1年以内,,7-9K,广州,,2026-05-27 00:24:23
78b484453e1f5c170nR-39-8FlJR,运维工程师,实丰互娱(广州),20-99人,游戏,大专,3-5年,,8-11K,广州,,2026-05-27 00:24:45
949634c66be8c1711XFy3d20FltY,充电桩工程师,讯腾新能源,0-20人,新能源,大专,1-3年,"计算机相关专业, 电子/电气/自动化相关专业, 运维经验",10-11K·13薪,广州,,2026-05-27 00:25:29
