职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
0a67e79f6d7ce0e01nZ63t-0F1BX,网络工程师,晓通宏志科技,100-499人,移动互联网,本科,1-3年,"有网络工程师经验, 1到3年网络工程师经验, 计算机相关专业, 网络架构设计, 大型网络实施, 英文听说读写能力, CCNP/HCIP等, CCIE/HCIE等, PMP证书, 其他, Python, Zabbix/Prometheus, SQL, 其他, 运营商, PMP, CCIE证书, CCNP证书, 网络安全, 云计算",20-30K,上海,,2026-05-25 22:24:30
0b8748574e0bed260nB43Nu5EVJQ,运维工程师,某中型基金公司,100-499人,基金,本科,经验不限,,18-35K·24薪,上海,,2026-05-25 22:25:13
582decbc86c5fa0a0nR52dW8EVdT,海外交付运维工程师,依图,100-499人,人工智能,本科,3-5年,"实施交付运维, 通信相关专业, Docker, 大数据运维经验, 系统运维, 运维开发/DevOps, 运维开发经验, Python/Shell, 计算机相关专业, 电子/电气/自动化相关专业, Kubernetes",20-30K·15薪,上海,,2026-05-25 22:25:36
c17fe50c30ff52ae0nB62tu1GVtR,运维工程师（外包）,阳光雨露,1000-9999人,企业服务,大专,10年以上,"桌面运维, 网络运维, 系统运维, 计算机相关专业",12-15K,上海,,2026-05-25 22:25:57
65406c827c7467c70nR52du4FVBX,动力运维工程师,重庆昌泰衡明科技,500-999人,运营商/增值服务,大专,1-3年,"IDC机房运维, 电子/电气/自动化相关专业, 高压证, 制冷与空调证, 供用电技术",5-8K,上海,,2026-05-25 22:26:17
5f30ab178e549c9d0X1939y4ElE~,资深运维工程师,阿里巴巴集团,10000人以上,互联网,本科,3-5年,"运维工程师, 运维监控, 云计算",10-15K,上海,,2026-05-25 22:26:59
