职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
ad70dccc58592b3e0nB429S8FlFV,销售工程师,ABB(中国)有限公司,10000人以上,电气机械/器材,本科,3-5年,,14-18K·13薪,合肥,,2026-05-31 16:56:54
14151d64f177e3f80nB73Ny4GVRQ,SSD NPI PE 工程师,宏芯宇电子,1000-9999人,半导体/芯片,本科,3-5年,"半导体经验, 电子/通信经验, 试产工程师（NPI）经验, 量产工程师（PE）经验, 不需要出差, 芯片/半导体经验, 电路板/集成电路经验, 手机经验, 电脑经验, 耳机经验, 智能穿戴设备经验",12-20K,合肥,,2026-05-31 16:56:54
bb396added3a97d003J63t28FFRV,smt工程师,合肥畅想未来电子,100-499人,半导体/芯片,大专,3-5年,"松下, 贴片机, SMT, 三星",10-15K,合肥,,2026-05-31 16:56:54
afaf18627eeb0ecd0nV609W4F1JW,运营商-中高级运维工程师-合肥,科大讯飞,10000人以上,互联网,本科,5-10年,Kubernetes,14-22K·14薪,合肥,,2026-05-31 16:57:14
c6f5cf4b119ab7d90nd-2Nu7GFpY,模具工程师,富光集团,1000-9999人,其他行业,中专/中技,5-10年,,10-15K,合肥,,2026-05-31 16:57:14
dcdc67d0befd94b10nV93tm7EFZZ,储能电站运维工程师,汉星智储,100-499人,储能,大专,1-3年,"运维经验, 储能电站, 330kv",5-10K,合肥,,2026-05-31 16:57:34
f93ea8c933a996890nVz3du7ElJU,硬件工程师,晟泰克机器人事业部,500-999人,人工智能,本科,3-5年,,12-18K,合肥,,2026-05-31 16:58:37
d0983ae3d81a9d040nd63ty5E1NQ,系统运维工程师,合肥协鑫新能源,1000-9999人,光伏,本科,5-10年,,10-15K·14薪,合肥,,2026-05-31 16:59:38
