职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
0f30f89dd6bb99363nR70t-_EVM~,运维工程师,众连心达,20-99人,计算机软件,大专,经验不限,"网络运维, 通信相关专业, IT技术支持, 系统运维, 机房运维, 网络交换技术, 运维工程师, 游戏, 网络协议, SQL",5-10K,成都,,2026-05-27 19:04:02
edc4839826f8784e0nV739W_FlVY,数据中心暖通&电力运维工程师,成都优炫创新软件,20-99人,信息安全,本科,1-3年,"电工证, 暖通运维, 冷冻水系统, 运维经验, 精密空调, IDC机房运维, 制冷证",7-10K,成都,,2026-05-27 19:04:43
ae6e684301ce75ac03Z-39y5FldQ,新能源充电桩运维工程师,百源智联,20-99人,新能源,大专,1-3年,,4-5K,成都,,2026-05-27 19:05:04
34af3cfe6fb665f7031_2ty6GVNR,网络运维工程师（交换机运维）,信酬科技,20-99人,电子商务,大专,3-5年,"网络运维, 通信相关专业, 系统运维, 桌面运维, 计算机相关专业, 网络安全相关经验, 运维经验",4-6K,成都,,2026-05-27 19:05:04
