职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
365be5e834116dd50ndy3d29FFFS,云计算运维工程师- (顺义-南法信-蒙商行）,先进数通,1000-9999人,计算机软件,本科,5-10年,云计算运维,12-13K,北京,,2026-05-25 19:18:32
152d35c2243b55a703V_0tW9FlpR,云计算售前工程师,国信新网,20-99人,运营商/增值服务,本科,1-3年,"系统集成, 计算机/通信相关专业, 云服务, HCIE, 招投标经验",20-25K,北京,,2026-05-25 19:18:32
d0f64ebd670967491H1z3928EVFZ,云计算高级工程师,讯为科技,20-99人,通信/网络设备,大专,3-5年,"实施交付运维, Docker, Kubernetes, 计算机相关专业, 通信相关专业, FusionCompute, hcs, IAAS",14-22K,北京,,2026-05-25 19:18:54
6ff97d458fc268871Hd909S1FVRR,交付运维工程师,海卫士电子,20-99人,通信/网络设备,本科,3-5年,"Java, 实施交付运维, Docker, 系统运维, 运维开发/DevOps, 运维开发经验, Python/Shell, 计算机相关专业, 网络安全相关经验",12-15K·13薪,北京,,2026-05-25 19:20:38
42679a14e4d4a5421nVz2967EVFT,Linux开发工程师,清华大学,1000-9999人,互联网,本科,5-10年,"云计算, 虚拟机技术, Linux",15-16K,北京,,2026-05-25 19:20:38
6764fcc022d043861nV52tq_FFBU,SDN网络工程师,滴滴出行,1000-9999人,互联网,本科,经验不限,"Shell, Go, 网络协议, 网络交换技术, 服务器配置, Linux, 架构师, 云计算",20-40K,北京,,2026-05-25 19:20:38
2e93b71c96582fbf1nB52tS1EVpS,网络工程师,楚越天下,20-99人,信息安全,大专,1年以内,"信息安全认证, 运维通信资格证书, CCNP证书, CCNA证书, 网络设备, 云计算, 安全设备",5-8K,北京,,2026-05-25 19:20:59
c9513bf46f63909c0nV729y0GFFS,游戏运维工程师,光宇游戏,1000-9999人,游戏,本科,3-5年,"运维开发/DevOps, Python/Shell, Kubernetes, 运维开发经验, Linux, Redis, MongoDB, Python, 游戏行业",13-19K,北京,,2026-05-25 19:21:19
38b04f942039c8080nV_3Nm9EFVV,运维工程师,深圳仰山投资有限公司,100-499人,投资/融资,本科,3-5年,,15-22K·15薪,北京,,2026-05-25 19:21:41
