职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
777026d8003f3f6c0nR92dW9FVpR,液压工程师,湖北神拓,20-99人,专用设备,本科,1-3年,,11-12K,武汉,,2026-05-24 01:03:35
da92fb20c433bfee031y3tm_EldQ,TD外延工程师,某中型半导体/芯片公司,500-999人,半导体/芯片,本科,经验不限,,20-40K·15薪,武汉,,2026-05-24 01:03:56
013efd8006abf7bb1H1y3di-GVBV,可靠性工程师,钧恒科技,500-999人,通信/网络设备,本科,5-10年,"移动通信设备, 寿命试验, 特殊试验, 加速试验, 环境试验",11-18K·13薪,武汉,,2026-05-24 01:03:56
77c6e4579684a92e0nB62d-9F1BQ,驱动工程师,长川科技,1000-9999人,半导体/芯片,本科,3-5年,,15-30K·15薪,武汉,,2026-05-24 01:03:56
15a72be55c5951a70ndy3d-4FVZY,云平台运维工程师,西藏雅江计算科学技术,20-99人,互联网,本科,1-3年,"网络运维, 系统运维, 计算机相关专业, 通信相关专业, 运维经验",15-19K,武汉,,2026-05-24 01:03:56
6ca8f63f4c36ec66031-3N6-FlFX,Linux 运维工程师,武汉中科瑞通,20-99人,互联网,本科,5-10年,"网络运维, 实施交付运维, 通信相关专业, Docker, 大数据运维经验, 系统运维, 运维开发/DevOps, 运维开发经验, 计算机相关专业, 运维经验, Kubernetes",11-12K,武汉,,2026-05-24 01:04:18
1696bae9062485650nd929y6EFNS,通信研发工程师,武汉某大型光通信器件上市公司,1000-9999人,企业服务,本科,3-5年,,20-21K,武汉,,2026-05-24 01:04:18
9deacc1838d84a020nd_3t2_GFFX,framework开发工程师,尚科数据无锡有限公司,0-20人,计算机服务,本科,3-5年,"Launcher, Settings, SystemUI, Framework",15-18K,武汉,,2026-05-24 01:04:18
37fae25f4990dae31nF43t61FlVT,交付工程师,腾讯,10000人以上,互联网,本科,3-5年,"MySQL, 容器技术, 虚拟机技术, 负载均衡技术, 网络交换技术, 服务器配置, 网络协议",15-20K,武汉,,2026-05-24 01:04:18
d72d1efd6c0359790nd_2N60GFBQ,应用软件开发工程师-云存储,北京外企德科人力...,1000-9999人,人力资源服务,本科,1-3年,"C++, C, STL, 超融合, 分布式存储, 存储, 私有云, 云计算",15-20K·15薪,武汉,,2026-05-24 01:04:18
14914ce34149e1e00nV53di1EVZT,DSP 工程师 附近兼职,湖北清源智测仪器仪表,0-20人,电子/硬件开发,本科,经验不限,,3000-4000元/月,武汉,,2026-05-24 01:04:18
122e8a0c3dfd6f6a0nB42du1EVJV,ME工程师,联特科技,1000-9999人,电子/硬件开发,本科,3-5年,"半导体经验, 现场工程师（ME）经验, 不需要出差, 芯片/半导体经验",18-26K,武汉,,2026-05-24 01:04:18
5de17654cd1b9df80nd-39-9FFJZ,质量工程师,武汉微泰电子有限公司,100-499人,半导体/芯片,本科,1-3年,"内审员资格证, 不需要出差, 团队管理经验, ISO9001经验, SQE经验（供应商）, 有质量管理经验, 电子/通信经验",9-11K·14薪,武汉,,2026-05-24 01:04:18
83384fffb0e74fba0nZz29q5FFNS,Unity研发工程师,数驱互动,100-499人,互联网,本科,3-5年,,18-30K·14薪,武汉,,2026-05-24 01:04:39
b8abed53eca7c9c70Xd809-7FFQ~,IT技术支持/运维工程师,创投信息服务,0-20人,计算机服务,大专,经验不限,"运维工程师, IT技术支持, 网络运维, 服务器配置, 虚拟机技术, 云计算, 硬件",4-9K,南昌,,2026-05-24 01:04:39
a182a2b1973535d50nR829S8GVZY,CAD算法工程师,华工赛百,100-499人,计算机软件,本科,3-5年,"C/C++, 大模型算法",15-22K·14薪,武汉,,2026-05-24 01:04:39
4520d2f75e68bebf03xy3d27EVZY,高级网络工程师,理工光科,100-499人,通信/网络设备,本科,5-10年,"有网络工程师经验, Zabbix/Prometheus, 系统集成商, 1年以内网络工程师经验, 1到3年网络工程师经验, CCNA/HCIA等, 大型网络实施, 数据中心运维",8-12K·14薪,武汉,,2026-05-24 01:04:39
af90b5c2890a5b8e0nZ53ti5FFdW,交付工程师,京山轻机,1000-9999人,印刷/包装/造纸,本科,3-5年,,5-7K·13薪,武汉,,2026-05-24 01:04:39
