职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
526a1d6fc9a8fc160ndz3t25E1NX,云计算,中电信数智科技,100-499人,互联网,本科,3-5年,阿里云计算高级认证,8-10K,乌鲁木齐,,2026-05-24 13:43:39
1eefc9651aa52f260nB63dS_EVtR,量化策略工程师,智量通,20-99人,互联网,本科,经验不限,,12-17K,武汉,,2026-05-24 13:43:39
ea25b1d97781521a0nB60tm8FVJS,linux驱动开发工程师,国开鸿科技,20-99人,通信/网络设备,本科,3-5年,"C/C++, linux驱动开发经验, linux内核, linux内存, linux进程调度",15-20K,武汉,,2026-05-24 13:44:00
99b135cf741d652f0nV829i0F1RR,pcb设计工程师,海德博创,100-499人,铁路/船舶/航空/航天制造,本科,5-10年,,10-15K,武汉,,2026-05-24 13:44:21
472af5feb3107c700nd_2966EVBV,IDC基础设施运维高级工程师,烽火通信,10000人以上,通信/网络设备,本科,1-3年,"网络运维, 系统运维, IDC机房运维, 运维开发/DevOps, DBA, Java, Python/Shell, Golang, Ansible/Salt/Puppet, Redis",15-16K,武汉,,2026-05-24 13:44:42
5d51b1f10b6b45ae0nZ73t-_EFZT,电机结构工程师,武汉某大型汽车研发/制造上市公司,10000人以上,汽车研发/制造,本科,5-10年,,25-35K,武汉,,2026-05-24 13:44:42
c8cfb97ebf9120d40nd_092_GFBY,UE5工程师,墨匠文化,20-99人,互联网,本科,3-5年,"UE4, C/C++, 计算机/软件工程相关专业, 美术/动画基础, 游戏客户端开发经验, UE4开发经验",50-80元/时,武汉,,2026-05-24 13:44:42
5c44ff586e4807710nZ50tm-EltU,尺寸工程工程师—奕派科技,东风汽车集团股份...,10000人以上,汽车研发/制造,本科,5-10年,"冲压, 焊接, 总装工艺",15-30K·13薪,武汉,,2026-05-24 13:44:42
