职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
1eb92937f3f07e2f0nB52dm4F1NY,云计算运维开发工程师,北京魔方芯联科技,20-99人,互联网,大专,3-5年,,12-16K,北京,,2026-05-23 18:59:08
d22dfc728bcdf1321Hdz3Ny-E1I~,云计算工程师,华云网络,20-99人,互联网,本科,3-5年,"vmware, 桌面云, 虚拟化",10-15K,潍坊,,2026-05-23 18:59:30
70f44e1a22f26f991Hx50tS7GFdZ,云计算销售工程师（六险一金+双休）,北京外企德科人力...,1000-9999人,人力资源服务,大专,经验不限,"个人（To C）, 对企业/机构（To B）销售经验, 互联网/科技",8-12K,杭州,,2026-05-23 18:59:52
af76a5c5893660580nB52t-6GVVS,云计算高级工程师,北京趋境科技,100-499人,云计算,本科,5-10年,,40-70K·16薪,北京,,2026-05-23 18:59:52
3c8d77b47556d47c0nd83du4EFRQ,云计算讲师,博赛网络,100-499人,互联网,本科,1-3年,,6-10K,济南,,2026-05-23 19:00:12
33365b93abfcc82803N72t69FVFR,云计算工程师,某大型汽车研发制造上市公司长安,10000人以上,汽车研发/制造,本科,5-10年,"云计算, GPU",15-25K,重庆,,2026-05-23 19:00:54
3102d995ae714af10nB42d2-E1tX,云计算值班监控工程师（外包/有夜班）,SenseTime,1000-9999人,计算机软件,本科,3-5年,,9-13K,北京,,2026-05-23 19:01:15
dc121a5b535acabd1HF72N2-FVpY,云计算运维工程师,上海闻驿信息,20-99人,计算机服务,本科,1-3年,"Nginx, 实施交付运维, Docker, 系统运维, Python/Shell, 计算机相关专业, 网络安全相关经验, 运维经验",6-10K·13薪,上海,,2026-05-23 19:01:37
0aaca1dc35c6a7a60nd-3t67FlRT,技术服务工程师-AI大模型/智算,阿里巴巴集团,10000人以上,互联网,硕士,,"AI全栈, 云原生, AI算力, 计算机相关专业, 云计算",400-500元/天,深圳,,2026-05-23 19:02:20
adf99977d5e90c6603xz2Nm7E1FY,云平台IT运维工程师,向心力,500-999人,通信/网络设备,大专,1-3年,"IT, 华为, 云计算, 智算",8-13K,北京,,2026-05-23 19:02:20
