职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
a0712688e5f3a9cf1nF709-4EVA~,销售工程师,尚为照明,1000-9999人,企业服务,本科,经验不限,"市场拓展能力, 市场信息搜集与分析, 电子/半导体/集成电路, 市场营销相关学历, 商务谈判能力, 销售支持, 客户开发与维护, 电气相关学历, 管理相关学历, 项目跟踪",8-9K,呼和浩特,,2026-05-31 22:20:44
946393387d1bbb190nB42d66EFpU,解决方案工程师,正阳科技,20-99人,计算机软件,硕士,10年以上,"ERP/OA/CRM系统, 金融信息化项目, 医疗/大健康信息化项目, 能源信息化项目, 农业信息化项目, 机械/电子工程相关专业, 能源/电力相关专业, 售前技术支持经验, 英语可沟通, 可适应出差, PMP, 信息系统项目管理师, CISSP/CISP, CCIE, HCIE",12-18K,呼和浩特,,2026-05-31 22:20:44
47fdec7cb2c0950f0nB42d64GVtR,技术文档工程师,恒通博联,20-99人,计算机软件,本科,经验不限,,100-150元/天,呼和浩特,,2026-05-31 22:22:48
fc382635c40e78ee1nd43dm5F1NV,系统运维工程师,内蒙古文恒,20-99人,计算机软件,本科,1-3年,计算机相关专业,4-5K,呼和浩特,,2026-05-31 22:23:54
