职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
1d043ed09fe826130nZz0965GFBX,前端研发工程师,帕科科技,100-499人,计算机软件,本科,3-5年,"Vue, React, Angular",7-10K,贵阳,,2026-05-31 19:08:47
cc30db7534a248c60nZ_3NW9FlJZ,注册安全工程师,贵州鑫扬项目管理,0-20人,建筑工程咨询服务,本科,1年以内,,8-10K,贵阳,,2026-05-31 19:10:11
6d40667b9b1b6c5a03x63ti5EFRS,算法工程师,佰仕佳,20-99人,计算机软件,本科,3-5年,"语音算法, 图像算法, 深度学习, 大模型算法, 自然语言处理算法, 算法工程化经验, 其他, NVIDIA  JETSON, 嵌入式开发, 优秀开源项目经历, 推荐算法, C/C++, 升腾, Python, OCR",10-15K,贵阳,,2026-05-31 19:10:32
c893206aaa0f61d40nB-2Ny1EVJW,java开发工程师,正杰科技,0-20人,社交网络与媒体,本科,5-10年,"不接受居家办公, Java, SpringCloud, MyBatis, 架构设计经验, 分布式经验, 微服务经验",9-13K,贵阳,,2026-05-31 19:10:53
