职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
c6291f664b34d2680nB43N2_EVtU,云计算工程师（南昌）,维创,100-499人,通信/网络设备,大专,1-3年,,5-8K,南昌,,2026-05-23 23:40:34
8b21acd542e3eb281nV_3N69EFtV,云计算工程师,信通院,1000-9999人,政府/公共事业,硕士,1年以内,"运维, 云计算, 计算机软件",16-19K,北京,,2026-05-23 23:40:34
dd08ced6103f2b450nB62Nq1EVVR,云计算工程师,奇瑞控股集团有限公司,10000人以上,汽车研发/制造,大专,5-10年,,7-10K,芜湖,,2026-05-23 23:40:34
505176b710f7df1c03xy09q6E1BY,云计算运维工程师,浙江中智之江科技,20-99人,大数据,本科,经验不限,"网络运维, Docker, 系统运维, Python/Shell, 计算机相关专业, 网络安全相关经验, 运维经验, IDC机房运维",7-9K·13薪,绍兴,,2026-05-23 23:40:34
651857a3f6c012bf0nd83NW9ElJU,云计算工程师,杭数人才,100-499人,计算机软件,大专,5-10年,,9-12K,海口,,2026-05-23 23:40:34
fd1544476091a0811nV_3dq5FVBR,云计算工程师,太极股份,1000-9999人,计算机软件,学历不限,经验不限,"网络运维, Windows, Unix, Python, Shell, 分布式技术, 虚拟机技术, Openstack",8-13K,海口,,2026-05-23 23:40:48
aa94edaf761b405e0nB72NS1FFRX,云计算运维工程师,北京荣荔建筑工程,0-20人,工程施工,大专,1-3年,"系统运维, IDC机房运维, 计算机相关专业, 通信相关专业, 运维经验, 运维开发经验, HCS，云平台",6-8K,保定,,2026-05-23 23:40:48
