职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
4cb62e4313db39840nZ93dy_ElVT,云计算开发工程师,华为云计算,10000人以上,互联网,本科,,,200-400元/天,深圳,,2026-05-26 20:58:05
b0b7c949a2f32ee40nR_2Nu1GVJU,k8s运维工程师,深圳安信智科安防科技,20-99人,计算机/通信/其他电子设备,本科,5-10年,网络运维,20-40K,深圳,,2026-05-26 20:58:48
2ff440556601aaa10nd-0tS7FFVV,云平台运维工程师,乔安,1000-9999人,计算机软件,本科,3-5年,"运维开发/DevOps, 系统运维, 网络运维, Redis, Java, MySQL/Oracle, Docker, Kubernetes, 运维开发经验, 运维经验, 云平台",9-14K·14薪,深圳,,2026-05-26 20:59:09
f1e1428445d655cf0ndy3NS1F1ZW,业务运维工程师,协创数据,1000-9999人,互联网,本科,3-5年,"SOC, IaaS, SaaS, PaaS",12-18K,深圳,,2026-05-26 21:00:13
16315f0e7f479c51331539i7GFE~,工程师,语路科技,100-499人,智能硬件,本科,5-10年,"服务器配置, 计算机软件, 视觉图像算法, Windows, 深度学习算法, 人脸识别, 大数据, 云计算",10-15K,深圳,,2026-05-26 21:00:56
08d15c367e6c4a4803R42tu7E1JV,音视频运维工程师,深圳市鸿哲智能系...,20-99人,智能硬件,大专,1-3年,"通信相关专业, 系统运维, 桌面运维, 计算机相关专业",6-9K,深圳,,2026-05-26 21:01:17
0dac88a715c9b6c31HZ63t29FFdS,运维工程师,深圳市恒金网络科技,20-99人,计算机软件,本科,经验不限,"网络运维, Nginx, Docker, 系统运维, Python/Shell",10-15K·13薪,深圳,,2026-05-26 21:01:17
