职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
764e1c8aab7a97690nV92dm-EFZZ,AI平台工程师,明心数智,100-499人,大数据,本科,5-10年,"云计算, 云部署, AI应用开发, 大模型开发",30-50K,深圳,,2026-05-26 21:39:08
6f2fb6ee7f8c782c03F_39u5EFJQ,物联网运维工程师,广东国科城市大脑科技,20-99人,计算机软件,本科,3-5年,"运维开发经验, 物联网, 智慧城市, 运维经验, 化工/能源/制造行业",7-12K,深圳,,2026-05-26 21:39:50
2e091009b7d381180nV63d-7GFBT,交易运营工程师,茂源量化,100-499人,基金,本科,3-5年,,15-30K·15薪,深圳,,2026-05-26 21:39:50
cde4b09a7c9407e40nZy3tq8FltR,AWS运维工程师,速境生活科技,100-499人,智能硬件,本科,5-10年,"Docker, 系统运维, 运维开发/DevOps, 运维经验, AWS",15-30K·15薪,深圳,,2026-05-26 21:40:11
fe9614b6033fec8303x_2dm-FFtV,高级运维工程师,和生创新技术,500-999人,智能硬件,本科,5-10年,,20-30K,深圳,,2026-05-26 21:40:33
f96f2cfa3f4c4b890nd-2dq_E1FQ,运维工程师,货拉拉科技,10000人以上,互联网,本科,经验不限,"Docker, 运维经验, IDC机房运维",15-19K·13薪,深圳,,2026-05-26 21:40:52
402a50ae7e24091303J939u7ElJS,系统运维工程师,德鼎信达,0-20人,运营商/增值服务,大专,1-3年,"网络运维, 通信相关专业, MySQL/Oracle, 系统运维, 英语四级, 短信息, 通信行业, 桌面运维, 计算机相关专业, 运维经验",8-13K,深圳,,2026-05-26 21:40:52
