职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
e816232151ab62320nZ92Nq5FlpV,销售工程师,洲明科技,1000-9999人,智能硬件,本科,1-3年,"计算机相关学历, 建筑类相关学历, 工业设备销售经验, 客户开发与维护, 微电子相关学历",8-13K,合肥,,2026-05-31 17:29:32
2a87cbec7d5c30400nB-3dW7E1tQ,工艺工程师,合肥久兴科技,20-99人,原材料及加工/模具,学历不限,1-3年,"塑料经验, 现场工程师（ME）经验, 不需要出差",10-11K,合肥,,2026-05-31 17:29:55
850c4cba480310150nV_3d69GVZW,专网网络运维工程师,上海音达科技有限公司,500-999人,通信/网络设备,大专,3-5年,,8-10K,合肥,,2026-05-31 17:29:55
9286f5d26957106f0nB-0ty8GVJY,运维工程师,合肥聚和安全智能科技,0-20人,通信/网络设备,本科,5-10年,"网络运维, 实施交付运维, 系统运维, Python/Shell, 计算机相关专业, 运维经验, IDC机房运维",6-10K,合肥,,2026-05-31 17:30:14
8d6c4353f2606b7a1XB_0tu0GFVQ,运维监控工程师,Bespin Global China,100-499人,互联网,本科,1年以内,英语口语好,4-6K,合肥,,2026-05-31 17:30:57
18b31c639054182d1XJ83968GVZQ,全栈工程师,路必达科技,0-20人,汽车零部件,本科,3-5年,"全栈侧重前端, JavaScript, CSS, Java, Spring/Spring Boot, MySQL/Redis/MongoDB, 计算机相关专业, 全栈项目经验, 前端开发经验",10-15K,合肥,,2026-05-31 17:31:40
10e68e89679a7f9d0nV-2t67FFFT,Java工程师,英弗伦斯科技,20-99人,互联网,本科,3-5年,,8-10K,合肥,,2026-05-31 17:32:01
6742c1ecb84ea66403x63dq9EFtQ,CNC工程师,凯昇,20-99人,机械设备/机电/重工,中专/中技,3-5年,"Mastercam, 非标自动化",11-14K,合肥,,2026-05-31 17:32:01
861135d90788cd261XBz29S1GFFS,运维工程师,兴博科技,100-499人,计算机软件,本科,经验不限,实施交付运维,5-8K,合肥,,2026-05-31 17:32:23
