职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
fe3b2ccdc82713ed0nZ83Ni1FVVQ,销售工程师,金顶科技,0-20人,通用设备,学历不限,1年以内,,3-8K·24薪,无锡,,2026-05-30 15:39:59
a4c1fdd4cb7af55c03F629W1EFVR,电气工程师,无锡东海岸化学集团,20-99人,化工,本科,1-3年,"电气设计, 防雷照明接地设计, 施工图设计",11-20K,无锡,,2026-05-30 15:42:05
b198ddc504a9182103V72t66FlJT,研发工程师,大晃传英,20-99人,批发/零售,大专,1-3年,"食品相关专业, 配方开发, 食品加工及制品",6-10K,无锡,,2026-05-30 15:42:05
e04ceac662816f7403V709W6EVZR,PLM系统运维工程师(W0085),ATW,1000-9999人,自动化设备,本科,3-5年,"系统运维, PLM",12-20K·14薪,无锡,,2026-05-30 15:42:27
a3d597bb7511cdb50nZ90tq-ElJW,结构工程师,江苏驭驱,20-99人,新能源汽车,本科,3-5年,"CATIA, 团队管理经验, AutoCAD, 动力系统经验, 仿真设计经验, 其他, 电子系统经验, UG, 整机设计经验, 非标设计经验, SolidWorks, 汽车经验, 有机械结构工程师经验, Pro/E",10-15K,无锡,,2026-05-30 15:42:27
