职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
52a9f8fd2c2773ad0nR609i8EVpQ,有线传输工程师,吉大通信,1000-9999人,通信/网络设备,大专,1-3年,,5-6K,贵阳,,2026-05-31 20:19:37
4729a7ccc5f450b61n1y3NW5E1c~,电气工程师,博创恒诚科技,20-99人,信息安全,本科,5-10年,"项目管理, PLC工程师, 电控工程师, 电气安装, plc编程，组态编程",8-12K,贵阳,,2026-05-31 20:19:59
6c87baea92b296a103N53tu-F1RV,高级机电工程师,圣能电力工程有限公司,500-999人,光伏,大专,1-3年,,11-15K,贵阳,,2026-05-31 20:19:59
72c666ad817e57fe0nB_2NW-FFFU,应届Java开发工程师,贵州卡布国际,1000-9999人,其他行业,本科,1年以内,"Java, Spring, 不接受居家办公, MySQL, 架构设计经验, 订单支付, 业务场景落地实施, 独立项目经验",4-6K,贵阳,,2026-05-31 20:21:24
c5bc6e14b1bc1fe003d63920EVpU,遥感工程师 贵阳,艾尔思,20-99人,计算机软件,本科,1-3年,,5-9K,贵阳,,2026-05-31 20:22:05
